Accelerating HemeLB,,,,,,,,,,
,,,,,,,,,,
1. Intrinsics,,,,,,,,,,
SSE3,ON,No Saving to Disk,,,,,,,,
,,,,,,,,,,
Geometry:,Bifurcation Hires ,,,,,,,,,
Number of Fluid sites,,2.01005E+06,,,,,,,,
,,,,,,,,,,
,,* Rank 0 actually does not participate in the computations,,,,,,,,
,# nodes,# cpu cores,Start sim,End Sim.,Iterations,Time (s),Time/ 1000 iter,MLUPps,Speed up,Ideal
,1,10,2.639722,292.449,5000,289.809,57.9618556,3.47,1,1
,,,,,,,,,,
,1,20,1.492872,108.6906,5000,107.198,21.4395456,4.69,2.703502056,2
,,,,,,,,,,
,1,30,1.098025,80.12227,5000,79.024,15.804849,4.24,3.667346369,3
,,,,,,,,,,
,1,40,0.876821,75.18726,5000,74.310,14.8620878,3.38,3.899980701,4
,,,,,,,,,,
,1,48,0.7460475,69.29974,5000,68.554,13.7107385,3.05,4.227478746,4.8
,,,,,,,,,,
,,,,,,,,,,
SSE3,OFF,No Saving to Disk,,,,,,,,
,,,,,,,,,,
Geometry:,Bifurcation Hires ,,,,,,,,,
Number of Fluid sites,,2.01005E+06,,,,,,,,
,,,,,,,,,,
,# nodes,# cpu cores,Start sim,End Sim.,Iterations,Time (s),Time/ 1000 iter,MLUPps,Speed up,Ideal
,1,10,2.574057,385.2574,5000,382.683,76.5366686,2.63,1,1
,,,,,,,,,,
,1,20,1.451467,156.2977,5000,154.846,30.9692466,3.25,1.871593983,2
,,,,,,,,,,
,1,30,1.061886,106.1362,5000,105.074,21.0148628,3.19,2.758136284,3
,,,,,,,,,,
,1,40,0.8462513,87.29922,5000,86.453,17.29059374,2.91,3.352218927,4
,,,,,,,,,,
,1,48,0.7206277,72.53787,5000,71.817,14.36344846,2.92,4.035371851,4.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Bottelnecks,,,,,,,,,,
Frequency of writing to disk,,,,,,,,,,
,,,,,,,,,,
SSE3,ON,,,,,,,,,
,,,,,,,,,,
MPI_Tasks,10,,,,,,,,,
dt,# nodes,# cpu cores,Start sim,End Sim.,Iterations,Time (s),Time/ 1000 iter,MLUPps,Diff,
no Saving,1,10,2.639722,292.449,5000,289.809,57.9618556,3.47,0.0%,
,,,,,,,,,,
100,1,10,2.643114,308.3515,5000,305.708,61.1416772,3.29,-5.5%,
,,,,,,,,,,
200,1,10,2.631664,306.2461,5000,303.614,60.7228872,3.31,-4.8%,
,,,,,,,,,,
500,1,10,2.635531,297.585,5000,294.949,58.9898938,3.41,-1.8%,
,,,,,,,,,,
1000,1,10,2.630288,302.3669,5000,299.737,59.9473224,3.35,-3.4%,
,,,,,,,,,,
5000,1,10,2.631901,302.4909,5000,299.859,59.9717998,3.35,-3.5%,
,,,,,,,,,,
,,,,,,,,,,
MPI_Tasks,40,,,,,,,,,
dt,# nodes,# cpu cores,Start sim,End Sim.,Iterations,Time (s),Time/ 1000 iter,MLUPps,,
no Saving,1,40,0.876821,75.18726,5000,74.310,14.8620878,3.38,0.0%,
,,,,,,,,,,
100,1,40,0.8761721,79.32659,5000,78.450,15.69008358,3.20,-5.6%,
,,,,,,,,,,
200,1,40,0.8752577,76.98489,5000,76.110,15.22192646,3.30,-2.4%,
,,,,,,,,,,
500,1,40,0.8765505,75.13259,5000,74.256,14.8512079,3.38,0.1%,
,,,,,,,,,,
1000,1,40,0.8787063,75.03533,5000,74.157,14.83132474,3.39,0.2%,
,,,,,,,,,,
5000,1,40,0.8781953,75.09601,5000,74.218,14.84356294,3.39,0.1%,
